Temperature,Moisture,Rainfall,PH,Nitrogen,Phosphorous,Potassium,Carbon,Soil_Acidic Soil,Soil_Alkaline Soil,Soil_Loamy Soil,Soil_Neutral Soil,Soil_Peaty Soil,Crop_Adzuki Beans,Crop_Black gram,Crop_Chickpea,Crop_Coconut,Crop_Coffee,Crop_Cotton,Crop_Ground Nut,Crop_Jute,Crop_Kidney Beans,Crop_Lentil,Crop_Moth Beans,Crop_Mung Bean,Crop_Peas,Crop_Pigeon Peas,Crop_Rubber,Crop_Sugarcane,Crop_Tea,Crop_Tobacco,Crop_apple,Crop_banana,Crop_grapes,Crop_maize,Crop_mango,Crop_millet,Crop_muskmelon,Crop_orange,Crop_papaya,Crop_pomegranate,Crop_rice,Crop_watermelon,Crop_wheat,synthetic_yield,crop,yield_ton_per_acre
24.36350297118406,37.55448641942095,143.4102046166746,6.498680974916214,109.49974664849556,13.855625891384491,95.72168525582607,3.125084628737857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28.95,Crop_orange,12.0
38.76785766024791,43.1404961562515,133.2280240578508,7.486987090050377,27.67679933980673,9.113059438203008,68.89386803012897,0.386736645262868,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.62,Crop_Moth Beans,9.37
33.29984854528513,69.81831752415262,94.03847812571502,6.750667122625332,51.99595415548293,90.6287926115496,144.6747787295911,3.138849636208326,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.49,Crop_Chickpea,9.37
29.96646210492592,33.80030702419245,201.816667525372,4.833210332447186,99.49209552867272,144.91744837391323,32.84676764763573,0.630409312467758,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.17,Crop_Lentil,9.37
18.90046601106092,70.875477936852,169.1560401271572,5.242320947134221,72.313401678672,75.4081963432086,88.1784623998411,3.609652344889987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32.28,Crop_mango,9.09
18.899863008405067,16.169410168368405,266.4252480810009,5.3773127361236766,110.78565579523408,7.7272838908957695,105.0315022485334,2.0723727035884667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.19,Crop_Coffee,9.37
16.452090304204987,64.37589060460415,58.02739512051456,5.531457014579379,144.18118518342897,33.18279841161843,123.83467340180724,4.22094315952889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37.36,Crop_mango,9.44
36.654403644373375,69.32833431383155,210.9669818887816,6.7616135678020175,17.482003157279625,36.7189359623656,61.045654564201065,4.724140377272627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3,Crop_Mung Bean,9.37
30.02787529358022,22.72723569861371,240.73721962789028,6.515863119301574,106.43515745970916,50.6785693705425,103.03828614862223,2.2021296390349234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2,Crop_Lentil,9.37
32.70181444490114,40.12425726605403,239.8716422970768,5.312640153456836,34.55162334481718,6.540507537931894,45.48022070764242,2.410665418273982,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.23,Crop_mango,5.98
15.51461235739506,21.58498422645589,271.51849177388124,4.770219373822748,62.171509111135386,135.73390507468744,65.32141385427305,3.032708388861681,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36.24,Crop_maize,3.7
39.247746304049855,59.46228902959524,232.2584357073735,5.185728817898872,4.929408869270974,77.33459170822428,134.34406968050988,1.1462370649186424,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.42,Crop_Cotton,9.37
35.81106602001054,47.474343764315975,281.9525154119241,8.437525250474414,20.38610734390484,100.63961894311636,142.48614139964317,4.651197635976135,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,Crop_Cotton,9.37
20.308477766956905,54.47263426958247,133.16414995522285,6.374187799165889,47.96659335733495,10.075925534251343,107.82260203908972,2.2783996472065886,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.56,Crop_Cotton,9.37
19.54562418017752,23.75408768693478,175.80235418788578,7.969382018808449,51.29787079319775,8.11732017054741,56.15278361642776,1.000737612396835,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.9,Crop_apple,11.31
19.585112746335845,24.82221034366937,53.519915820722666,7.895009866675373,134.93778246931436,87.97016580608208,123.0086684961996,3.861112800410643,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.12,Crop_Kidney Beans,9.37
22.60605607398844,12.904812785693446,51.7393968258228,6.546078229851495,111.27193638997728,133.0944015756312,3.880062258813028,1.2519265877311287,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.66,Crop_Black gram,9.37
28.11891079080595,32.54472746370108,110.03165511287996,7.3267508338421745,145.82744522805615,79.27230014393206,15.411886580913158,0.8889405203449039,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35.46,Crop_millet,2.41
25.798625466052894,49.18212629335725,75.20179928477131,5.271008041650849,89.86072655028607,131.6728758855107,99.20606045630416,2.901785962371234,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40.23,Crop_millet,1.69
22.28072850495105,70.05544397981302,115.0528419839384,7.253586819707634,36.257059813697694,121.6486909582859,43.68728629050862,3.423177225399636,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26.26,Crop_pomegranate,12.86
